dataset_id,name,original_publication,pubmed_id,doi,official_repository,kaggle_mirror,license,commercial_use,redistribution,num_original_images,num_augmented_images,classes,whole_smear_or_single_cell,bounding_boxes,segmentation_masks,patient_metadata,microscope_camera,staining,tier,status,notes
pbc_acevedo,"PBC (Peripheral Blood Cells) Dataset",Acevedo et al. 2020 Data in Brief,32346559,10.1016/j.dib.2020.105474,https://doi.org/10.17632/snkd93bnjr.1,UNKNOWN (multiple untraced mirrors exist; use official Mendeley link only),CC BY 4.0,yes,yes,17092,0,"neutrophil;eosinophil;basophil;lymphocyte;monocyte;immature_granulocyte;erythroblast;platelet",single_cell,no,no,aggregate_only_no_per_image_id,CellaVision DM96,UNKNOWN,1,approved_for_v1,"Primary classification backbone. Best license of all candidates."
raabin_wbc,"Raabin-WBC",Kouzehkanan et al. 2022 Scientific Reports,35064165,10.1038/s41598-021-04426-x,https://www.raabindata.com/free-data/,https://www.kaggle.com/raabindata/datasets,"Free for commercial and non-commercial use (publisher statement, not SPDX-named)",yes,UNKNOWN_treat_conservatively,40000,0,"neutrophil;lymphocyte;monocyte;eosinophil;basophil;rbc_color_spots",both,yes_subset,yes_1145_cells,smear_camera_microscope_metadata_present,"2 microscopes; 2 cameras",UNKNOWN,1,approved_for_v1,"Primary detection/diversity source; only dataset with nucleus+cytoplasm masks at meaningful scale."
txl_pbc,"TXL-PBC (re-annotated integration)",Gan et al. 2025 Scientific Data,41145591,10.1038/s41597-025-05980-z,https://figshare.com/articles/dataset/TXL-PBC_Dataset/27073186,UNKNOWN,"Open (Figshare+GitHub); derivative of BCCD(MIT)+PBC(CC BY 4.0)+Raabin(free-use)+BCDD(unknown)",inherits_weakest_source,inherits_weakest_source,1260,0,"wbc;rbc;platelet",whole_smear,yes_18143_boxes,no,inherited_from_sources,UNKNOWN,UNKNOWN,1,approved_for_v1,"Primary whole-smear detection backbone. Re-uses images from BCCD/Raabin/PBC -- dedupe required before pooling with those sources."
ku_optofil_pbc,"KU-Optofil PBC Dataset",Yarikan et al. 2026 Scientific Data,41651863,10.1038/s41597-026-06761-y,https://doi.org/10.5281/zenodo.17333317,UNKNOWN,UNKNOWN_pending_manual_zenodo_license_read,UNKNOWN,UNKNOWN,31489,0,"segmented_neutrophil;lymphocyte;monocyte;eosinophil;basophil;myelocyte;metamyelocyte;blast;reactive_lymphocyte;other(13 total per paper)",single_cell,no,no,"anonymized_patient_ids_present",Sysmex DI-60,May-Grunwald-Giemsa,1,pending_license_confirmation,"Largest, most recent, best-annotated (Cohen kappa>0.85) source found. Do not use until license field is read directly from Zenodo record."
bccd,"BCCD (Blood Cell Count and Detection)",No peer-reviewed paper (community dataset),,,https://github.com/Shenggan/BCCD_Dataset,https://www.kaggle.com/datasets/orvile/bccd-blood-cell-count-and-detection-dataset,MIT,yes,yes,364,0,"wbc;rbc;platelet",whole_smear,yes_voc_format,no,none,UNKNOWN,UNKNOWN,2,approved_for_v1,"Original photos credited to 'cosmicad' and 'akshaylamba'. Cleanest license of detection sources."
kaggle_mooney_bloodcells,"Blood Cell Images (paultimothymooney)",Derivative of BCCD source photos,,,,https://www.kaggle.com/datasets/paultimothymooney/blood-cells,"Public-domain-style per Kaggle listing, attribution appreciated not required",yes_informal,yes_informal,410,12500,"eosinophil;lymphocyte;monocyte;neutrophil",single_cell,no,no,none,UNKNOWN,UNKNOWN,2,use_parent_only_if_at_all,"12,500 images are augmentations of ~410 originals shared lineage with BCCD -- must not be treated as independent samples in any pooled count or leakage audit."
lisc,"LISC (Leukocyte Images for Segmentation and Classification)",Rezatofighi and Soltanian-Zadeh 2011,21300521,UNKNOWN,http://users.cecs.anu.edu.au/~hrezatofighi/Data/Leukocyte%20Data.htm,none_found,"Research/education only. No redistribution. Must obtain directly from author. Mandatory acknowledgment.",no,no,UNKNOWN,0,"basophil;eosinophil;lymphocyte;monocyte;neutrophil;mixed",single_cell,no,yes_manual_nucleus_cytoplasm,hospital_source_noted_no_per_patient_id,UNKNOWN,UNKNOWN,1,restricted_benchmark_only,"Imam Khomeini Hospital, Tehran. Usable only as a non-redistributed local benchmark with citation; excluded from pooled training/redistribution."
all_idb,"ALL-IDB (1 and 2)",Labati Piuri Scotti 2011 IEEE ICIP (not PubMed-indexed),,UNKNOWN,https://homes.di.unimi.it/scotti/all/,none_found,"Request-only; research use presumed; no public open license confirmed",UNKNOWN,no,"ALL-IDB1:~108;ALL-IDB2:260",0,"leukemic_lymphocyte;normal_lymphocyte",both,ALL-IDB1_no;ALL-IDB2_no,ALL-IDB2_yes_260_segmented,UNKNOWN,UNKNOWN,UNKNOWN,2,not_authorized_out_of_scope,"Requires direct email authorization from Fabio Scotti (Universita degli Studi di Milano). Not obtained -- excluded from v1."
c_nmc_2019,"C_NMC_2019 (ISBI 2019 ALL Challenge)",Companion paper PMID 35500994,35500994,UNKNOWN,https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=52758223,none_found,"TCIA standard (CC BY 3.0/4.0 family -- confirm per-collection page)",yes_with_attribution,yes_with_attribution,15114,0,"normal_lymphocyte;malignant_b_all_lymphoblast",single_cell,no,no,"per_subject_ids_118_subjects",UNKNOWN,UNKNOWN,1,approved_for_future_expansion,"Not part of core 7-class v1 scope (leukemia classification is out of scope per spec's non-diagnostic positioning) but usable for later ALL-vs-normal research extension with real patient-level splits."
aml_cytomorphology_lmu,"AML-Cytomorphology_LMU",Matek et al. 2019 Nature Machine Intelligence,UNKNOWN_not_pubmed_indexed,UNKNOWN,https://www.cancerimagingarchive.net/collection/aml-cytomorphology_lmu/,none_found,"TCIA standard license family (typically CC BY 3.0 -- verify per collection)",yes_with_attribution,yes_with_attribution,UNKNOWN,0,"15 classes incl. blasts and WBC subtypes",single_cell,no,no,per_patient_aml_vs_control,UNKNOWN,UNKNOWN,1,approved_for_future_expansion,"Leukemia-patient population, not healthy donors. Valuable for future blast-detection extension; not in core v1 7-class scope."
leukemiaattri_lld,"LeukemiaAttri / LLD (Large Leukemia Dataset)",Used in Diaz et al. 2026 Current Oncology,42645391,10.3390/curroncol33080486,https://github.com/intelligentMachines-ITU/LLD-Large-Leukemia-dataset-for-microscopic-imagery,none_found,UNKNOWN_pending_github_license_read,UNKNOWN,UNKNOWN,2400,0,"14 classes: 13 WBC/blast subtypes + artifact",whole_smear,yes_plus_attribute_subboxes,partial_attribute_boxes_approximate,per_image_patient_domain_tag,multi_domain_multiple_microscopes,UNKNOWN,2,pending_license_confirmation,"Leukemia-patient population. Do not use until GitHub LICENSE file is read directly."
chula_pic_lab,"Chula-PIC-Lab (RBC morphology)",Referenced only in Dhar et al. 2025 Microsc Res Tech,39871114,10.1002/jemt.24786,none_found,none_found,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,"poikilocytosis;anisocytosis abnormal RBC classes",single_cell,no,no,UNKNOWN,UNKNOWN,UNKNOWN,2,unusable_no_public_access_found,"No independently verifiable public access point located. Do not use. RBC morphology-subtype classification is NOT implemented in v1 as a result -- see feasibility audit sec 10."
